|Unnamed: 0|id|fecha|anio|mes|dia|rol|victima|sexo|edad|fecha_deceso|edad_rango|dia_semana|acusado|hora_rango|x|y|lugar|direc_norm|comuna
173|173|2017-0035|2017-03-23|2017|3|23|CONDUCTOR|AUTO|MASCULINO|28.0|2017-03-23 00:00:00|4|Thursday|OBJETO FIJO|5|-58.35881506|-34.61113641|AV. DR. TRISTAN ACHAVAL RODRIGUEZ Y BLVD. AZUCENA VILLAFLOR|ACHAVAL RODRIGUEZ, T., DR. AV. y VILLAFLOR, AZUCENA|1
174|174|2017-0035|2017-03-23|2017|3|23|PASAJERO_ACOMPAÑANTE|AUTO|MASCULINO|32.0|2017-03-23 00:00:00|5|Thursday|OBJETO FIJO|5|-58.35881506|-34.61113641|AV. DR. TRISTAN ACHAVAL RODRIGUEZ Y BLVD. AZUCENA VILLAFLOR|ACHAVAL RODRIGUEZ, T., DR. AV. y VILLAFLOR, AZUCENA|1
175|175|2017-0035|2017-03-23|2017|3|23|PASAJERO_ACOMPAÑANTE|AUTO|MASCULINO|30.0|2017-03-23 00:00:00|5|Thursday|OBJETO FIJO|5|-58.35881506|-34.61113641|AV. DR. TRISTAN ACHAVAL RODRIGUEZ Y BLVD. AZUCENA VILLAFLOR|ACHAVAL RODRIGUEZ, T., DR. AV. y VILLAFLOR, AZUCENA|1
176|176|2017-0036|2017-03-29|2017|3|29|PASAJERO_ACOMPAÑANTE|MOTO|FEMENINO||2017-03-29 00:00:00|6|Wednesday|PASAJEROS|18|-58.51452347|-34.58159762|CURUPAYTI Y COLECTORA AV. GRAL. PAZ|PAZ, GRAL. AV. y CAMPANA|12
177|177|2017-0036|2017-03-29|2017|3|29|CONDUCTOR|MOTO|MASCULINO|20.0|2017-03-29 00:00:00|4|Wednesday|PASAJEROS|18|-58.51452347|-34.58159762|CURUPAYTI Y COLECTORA AV. GRAL. PAZ|PAZ, GRAL. AV. y CAMPANA|12
178|178|2017-0037|2017-03-31|2017|3|31|CONDUCTOR|MOTO|MASCULINO|41.0|2017-03-31 00:00:00|5|Friday|CARGAS|3|-58.38896772|-34.61799615|AV. INDEPENDENCIA Y VIRREY CEVALLOS|INDEPENDENCIA AV. y CEVALLOS, VIRREY|1
179|179|2017-0038|2017-04-01|2017|4|1|CONDUCTOR|MOTO|FEMENINO|40.0|2017-04-01 00:00:00|5|Saturday|AUTO|19|-58.44516857|-34.64363363|AV. CASTAÑARES Y LAUTARO|CASTAÃ‘ARES AV. y LAUTARO|7
180|180|2017-0040|2017-04-03|2017|4|3|CONDUCTOR|AUTO|MASCULINO|43.0|2017-04-03 00:00:00|5|Monday|MULTIPLE|9|-58.43834197|-34.54560369|CAMINO CIUDAD UNUVERSITARIA Y AV. TTE. GUIRALDES|GUIRALDES, INT. 2699|13
181|181|2017-0041|2017-04-03|2017|4|3|CONDUCTOR|MOTO|MASCULINO|17.0|SD|3|Monday|AUTO|23|-58.45485084|-34.63531854|BALDOMERO FERNANDEZ MORENO 2186|FERNANDEZ MORENO, BALDOMERO 2186|7
182|182|2017-0042|2017-04-10|2017|4|10|CONDUCTOR|MOTO|MASCULINO||2017-04-10 00:00:00|6|Monday|CARGAS|9|0.0|0.0|AV. LEOPOLDO LUGONES PKM 6900|LUGONES, LEOPOLDO AV.|14
183|183|2017-0045|2017-04-14|2017|4|14|CONDUCTOR|MOTO|MASCULINO|21.0|2017-04-14 00:00:00|4|Friday|OBJETO FIJO|6|-58.52449285|-34.62454175|NOGOYA 5940|NOGOYA 5940|10
184|184|2017-0047|2017-04-23|2017|4|23|CONDUCTOR|MOTO|MASCULINO|37.0|2017-04-23 00:00:00|5|Sunday|AUTO|6|-58.46713742|-34.6719879|AV. ARGENTINA Y AV. CORVALAN|ARGENTINA AV. y CORVALAN|8
185|185|2017-0049|2017-04-27|2017|4|27|PEATON|PEATON|MASCULINO|22.0|2017-04-27 00:00:00|4|Thursday|PASAJEROS|18|-58.43850413|-34.65554754|AV. FERNANDEZ DE LA CRUZ Y VARELA|FERNANDEZ DE LA CRUZ, F., GRAL. AV. y VARELA AV.|8
186|186|2017-0050|2017-04-28|2017|4|28|CONDUCTOR|MOTO|MASCULINO|46.0|2017-04-28 00:00:00|5|Friday|CARGAS|11|0.0|0.0|AU PERITO MORENO Y RAMAL ENLACE AU1/AU6||9
187|187|2017-0050|2017-04-28|2017|4|28|PASAJERO_ACOMPAÑANTE|MOTO|MASCULINO|16.0|2017-04-28 00:00:00|3|Friday|CARGAS|11|0.0|0.0|AU PERITO MORENO Y RAMAL ENLACE AU1/AU6||9
188|188|2017-0051|2017-05-01|2017|5|1|CONDUCTOR|AUTO|MASCULINO|33.0|2017-05-01 00:00:00|5|Monday|AUTO|3|0.0|0.0|AU DELLEPIANE 2400||7
189|189|2017-0052|2017-05-05|2017|5|5|PEATON|PEATON|FEMENINO|47.0|2017-05-05 00:00:00|5|Friday|CARGAS|3|-58.49413799|-34.68095739|AV. GRAL. PAZ Y GOLETA JULIA|PAZ, GRAL. AV. y GOLETA SANTA CRUZ|8
190|190|2017-0053|2017-05-05|2017|5|5|CONDUCTOR|MOTO|MASCULINO|28.0|2017-05-05 00:00:00|4|Friday|CARGAS|20|-58.37547846|-34.65326075|VIEYTES Y VILLARINO|VIEYTES y VILLARINO|4
191|191|2017-0054|2017-05-07|2017|5|7|PASAJERO_ACOMPAÑANTE|MOTO|FEMENINO|20.0|2017-05-07 00:00:00|4|Sunday|AUTO|21|-58.48680218|-34.58689719|AV. DE LOS CONSTITUYENTES Y PEDRO MORAN|DE LOS CONSTITUYENTES AV. y MORAN, PEDRO|15
192|192|2017-0055|2017-05-09|2017|5|9|CONDUCTOR|AUTO|MASCULINO|32.0|2017-05-09 00:00:00|5|Tuesday|AUTO|8|-58.49563989|-34.57962262|AV. DE LOS CONSTITUYENTES 4900|DE LOS CONSTITUYENTES AV. 4900|12
193|193|2017-0058|2017-05-09|2017|5|9|PEATON|PEATON|MASCULINO|80.0|2017-05-09 00:00:00|6|Tuesday|MOTO|23|-58.38403232|-34.5991594|AV. CORDOBA Y LIBERTAD|CORDOBA AV. y LIBERTAD|1
194|194|2017-0059|2017-05-11|2017|5|11|PEATON|PEATON|FEMENINO|39.0|2017-05-11 00:00:00|5|Thursday|PASAJEROS|9|-58.38223382|-34.62693865|BRASIL Y LIMA|BRASIL y LIMA|1
